control	rc=0	control-pass
inventory image/geometry ambiguity guard	rc=0	SURVIVED
package geometry declaration uniqueness	rc=0	SURVIVED
microcode depth 1<<UPC_W_C	rc=1	killed
wrapper declaration equality	rc=0	SURVIVED
empty parameter block	rc=0	SURVIVED
integrated output directory guard	rc=0	SURVIVED
attribution requires integrated build	rc=0	SURVIVED
CLI integrated-endpoint exclusivity	rc=0	SURVIVED
single synth_design command	rc=0	SURVIVED
image pathname character guard	rc=0	SURVIVED
split_once uniqueness	rc=0	SURVIVED
ROM_ERROR severity text	rc=1	killed
ROM_ERROR placed after synthesis	rc=1	killed
KEEP_HIERARCHY on wrong cell	rc=1	killed
hexadecimal-only ROM check scoped to non-empty	rc=1	killed
