rtl-fast	completed	success
Physical gPTP (nightly and manual)	completed	skipped
Verilator shard 4/5	in_progress	null
Yosys shard 2/4	completed	success
Yosys shard 1/4	completed	success
Yosys shard 0/4	completed	success
Verilator shard 0/5	completed	success
Yosys shard 3/4	completed	success
Verilator shard 2/5	completed	success
Verilator shard 1/5	completed	success
Verilator shard 3/5	completed	success
yosys-elaboration	completed	success
verilator-lint	completed	success
changes	completed	success
bdd-conformance	completed	success
full-ci-gate	completed	success
docs-check	completed	success
wire-accountability	completed	success
elaborate	completed	success
docs-check-no-git	completed	success
