# source scratch/tree-604297bb/scripts/act_slot_proof.sh sha256 3cffa803fc6dd2dad0904f59970570d4e52c372c250a496cb83236db504fe4d7 mode user
Q00	SURVIVED	rc=0	control: a comment line only	failed-cases=-	act_slot_proof selftest: PASS (38 cases)
Q01	KILLED	rc=1	slot-number check removed	failed-cases=slot A is not a number	act_slot_proof selftest: 1 FAILURE(S)
Q02	KILLED	rc=1	slots A and B may be equal	failed-cases=slots A and B are the same slot	act_slot_proof selftest: 1 FAILURE(S)
Q03	KILLED	rc=1	slot A may be 0	failed-cases=slot A is slot 0	act_slot_proof selftest: 1 FAILURE(S)
Q04	KILLED	rc=1	slot B may be 0	failed-cases=slot B is slot 0	act_slot_proof selftest: 1 FAILURE(S)
Q05	SURVIVED	rc=0	required-argument check removed (input validation)	failed-cases=-	act_slot_proof selftest: PASS (38 cases)
Q06	KILLED	rc=1	runner digest not compared	failed-cases=the runner is not the recorded digest	act_slot_proof selftest: 1 FAILURE(S)
Q07	KILLED	rc=1	runner write-bit check removed	failed-cases=the runner install is group-writable	act_slot_proof selftest: 1 FAILURE(S)
Q08	SURVIVED	rc=0	non-root writability check removed (documented as unstaged)	failed-cases=-	act_slot_proof selftest: PASS (38 cases)
Q09	KILLED	rc=1	non-empty log directory accepted	failed-cases=the log directory is not empty	act_slot_proof selftest: 1 FAILURE(S)
Q10	KILLED	rc=1	interrupt gate ignores the runner's exit status	failed-cases=the interrupt gate passes and is then refused	act_slot_proof selftest: 1 FAILURE(S)
Q11	KILLED	rc=1	interrupt gate needs no PASS line	failed-cases=the interrupt gate prints no PASS line	act_slot_proof selftest: 1 FAILURE(S)
Q12	KILLED	rc=1	interrupt gate needs no slot teardown line	failed-cases=the interrupt gate ignores its slot	act_slot_proof selftest: 1 FAILURE(S)
Q13	KILLED	rc=1	interrupt gate not run in slot A	failed-cases=honest, where PR B fails its second workflow	act_slot_proof selftest: 1 FAILURE(S)
Q14	KILLED	rc=1	complete: a FAILED run need not exit 1	failed-cases=a run fails a workflow and is then refused	act_slot_proof selftest: 1 FAILURE(S)
Q15	KILLED	rc=1	complete: an all-PASS run need not exit 0	failed-cases=a run passes every workflow and is then refused	act_slot_proof selftest: 1 FAILURE(S)
Q16	KILLED	rc=1	complete: a prefix of the PASS lines is enough	failed-cases=a run stops before its last workflow	act_slot_proof selftest: 1 FAILURE(S)
Q17	KILLED	rc=1	complete always true	failed-cases=every run refuses after taking its slot; a run stops before its last workflow; a run passes every workflow and is then refused; a run fails a workflow and is then refused; a parallel run refuses like its serial reference; a collision holder refuses like its serial reference	act_slot_proof selftest: 6 FAILURE(S)
Q18	KILLED	rc=1	serial reference always PASS	failed-cases=every run refuses after taking its slot; a run stops before its last workflow; a run passes every workflow and is then refused; a run fails a workflow and is then refused	act_slot_proof selftest: 4 FAILURE(S)
Q19	KILLED	rc=1	parallel comparison ignores completion	failed-cases=a parallel run refuses like its serial reference	act_slot_proof selftest: 1 FAILURE(S)
Q20	KILLED	rc=1	same_verdict always true	failed-cases=a slot changes a verdict; the collision holder changes its verdict	act_slot_proof selftest: 2 FAILURE(S)
