# source scratch/tree-604297bb/scripts/act_slot_proof.sh sha256 3cffa803fc6dd2dad0904f59970570d4e52c372c250a496cb83236db504fe4d7 mode root
Q21	KILLED	rc=1	parallel comparison ignores the verdict	failed-cases=a slot changes a verdict	act_slot_proof selftest: 1 FAILURE(S)
Q22	KILLED	rc=1	await_holder returns at once	failed-cases=honest, where PR B fails its second workflow; the parallel runs never overlap; a run never reports its own slot daemon; a run is refused before the other slot is taken	act_slot_proof selftest: 4 FAILURE(S)
Q23	KILLED	rc=1	await_holder accepts the generic running marker for a slot	failed-cases=a run never reports its own slot daemon	act_slot_proof selftest: 1 FAILURE(S)
Q24	SURVIVED	rc=0	await_holder has no early exit on an ended run (liveness only)	failed-cases=-	act_slot_proof selftest: PASS (38 cases)
Q25	KILLED	rc=1	overlap: run A may have ended	failed-cases=a run is refused before the other slot is taken	act_slot_proof selftest: 1 FAILURE(S)
Q26	KILLED	rc=1	overlap: run B may have ended	failed-cases=the parallel runs never overlap	act_slot_proof selftest: 1 FAILURE(S)
Q27	SURVIVED	rc=0	overlap: run B need not hold its slot	failed-cases=-	act_slot_proof selftest: PASS (38 cases)
Q28	SURVIVED	rc=0	overlap: run A need not hold its slot	failed-cases=-	act_slot_proof selftest: PASS (38 cases)
Q29	KILLED	rc=1	ended always false	failed-cases=the parallel runs never overlap; a run is refused before the other slot is taken; the rival is refused only after the holder left	act_slot_proof selftest: 3 FAILURE(S)
Q30	KILLED	rc=1	ended ignores a refusal	failed-cases=a run is refused before the other slot is taken	act_slot_proof selftest: 1 FAILURE(S)
Q31	KILLED	rc=1	ended ignores verdicts	failed-cases=the parallel runs never overlap; the rival is refused only after the holder left	act_slot_proof selftest: 2 FAILURE(S)
Q32	KILLED	rc=1	collision: rival started without waiting for the holder (sequencing only)	failed-cases=honest, where PR B fails its second workflow	act_slot_proof selftest: 1 FAILURE(S)
Q33	KILLED	rc=1	collision: rival may be refused after the holder ended	failed-cases=the rival is refused only after the holder left	act_slot_proof selftest: 1 FAILURE(S)
Q34	KILLED	rc=1	collision: rival exit status not checked	failed-cases=the rival names the slot lock but exits 1	act_slot_proof selftest: 1 FAILURE(S)
Q35	KILLED	rc=1	collision: refusal reason not checked	failed-cases=the rival is refused for another reason; the slot-0 rival is refused for neither the tool cache nor a job volume	act_slot_proof selftest: 2 FAILURE(S)
Q36	KILLED	rc=1	collision: holder need not complete	failed-cases=a collision holder refuses like its serial reference	act_slot_proof selftest: 1 FAILURE(S)
Q37	KILLED	rc=1	collision: holder verdict not compared	failed-cases=the collision holder changes its verdict	act_slot_proof selftest: 1 FAILURE(S)
Q38	KILLED	rc=1	slot-A collision accepts any refusal	failed-cases=the rival is refused for another reason	act_slot_proof selftest: 1 FAILURE(S)
Q39	KILLED	rc=1	slot-0 collision accepts any refusal	failed-cases=the slot-0 rival is refused for neither the tool cache nor a job volume	act_slot_proof selftest: 1 FAILURE(S)
Q40	KILLED	rc=1	slot-0 collision removed	failed-cases=honest, where PR B fails its second workflow; the shared daemon does not collide; the slot-0 rival is refused for neither the tool cache nor a job volume	act_slot_proof selftest: 3 FAILURE(S)
Q41	KILLED	rc=1	slot-A collision removed	failed-cases=honest, where PR B fails its second workflow; the slot lock is missing; the rival is refused only after the holder left; the rival is refused for another reason; the rival names the slot lock but exits 1; the collision holder changes its verdict; a collision holder refuses like its serial reference	act_slot_proof selftest: 7 FAILURE(S)
