env GIT_EDITOR=vi	2	REFUSED: Git environment overrides are not accepted: GIT_EDITOR
env GIT_SEQUENCE_EDITOR=vi	2	REFUSED: Git environment overrides are not accepted: GIT_SEQUENCE_EDITOR
env GIT_AUTHOR_NAME=Dev	2	REFUSED: Git environment overrides are not accepted: GIT_AUTHOR_NAME
env GIT_COMMITTER_EMAIL=dev@example.invalid	2	REFUSED: Git environment overrides are not accepted: GIT_COMMITTER_EMAIL
env GIT_SSH_COMMAND=ssh	2	REFUSED: Git environment overrides are not accepted: GIT_SSH_COMMAND
env GIT_ASKPASS=/bin/false	2	REFUSED: Git environment overrides are not accepted: GIT_ASKPASS
env GIT_TRACE=0	2	REFUSED: Git environment overrides are not accepted: GIT_TRACE
env GIT_MERGE_AUTOEDIT=no	2	REFUSED: Git environment overrides are not accepted: GIT_MERGE_AUTOEDIT
env GIT_INDEX_FILE=<copy>/.git/index	2	REFUSED: Git environment overrides are not accepted: GIT_INDEX_FILE
timestamp-only TEST_RESULTS.md (tsn_fuzz output) in hdl/ieee8021as/gptp_plane/doc	2	REFUSED: modified input bytes/mode: <copy>/hdl/ieee8021as/gptp_plane/doc/TEST_RESULTS.md
untracked new hdl/common file not in the shadow build	2	REFUSED: untracked input: hdl/common/KL_new_unadded.sv, 
dirty unrelated hdl/ieee1722 doc file	2	REFUSED: modified input bytes/mode: <copy>/hdl/ieee1722/aaf/doc/TEST_RESULTS.md
